D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.592575287,125,1000,4000,400000000,1000000,2770.88472
0.59250208,150,1000,4000,400000000,1000000,2770.88472
0.592040183,50,1250,4000,400000000,1000000,2770.88472
0.592285524,75,1250,4000,400000000,1000000,2799.159054
0.5918992,100,1250,4000,400000000,1000000,2799.159054
0.591496526,125,1250,4000,400000000,1000000,2799.159054
0.591571065,150,1250,4000,400000000,1000000,2799.159054
0.593714203,50,1500,4000,400000000,1000000,2799.159054
0.592261283,75,1500,4000,400000000,1000000,2770.88472
0.593729431,100,1500,4000,400000000,1000000,2799.159054
0.593561236,125,1500,4000,400000000,1000000,2799.159054
0.592052532,150,1500,4000,400000000,1000000,2770.88472
0.592665773,50,1750,4000,400000000,1000000,2770.88472
0.592127497,75,1750,4000,400000000,1000000,2770.88472
0.592040368,100,1750,4000,400000000,1000000,2770.88472
0.591947744,125,1750,4000,400000000,1000000,2799.159054
0.593982642,150,1750,4000,400000000,1000000,2799.159054
0.591335726,50,750,5000,400000000,1000000,2799.159054
0.591741506,75,750,5000,400000000,1000000,2799.159054
0.59220258,100,750,5000,400000000,1000000,2799.159054
0.592259085,125,750,5000,400000000,1000000,2799.159054
0.592778158,150,750,5000,400000000,1000000,2770.88472
0.592539765,50,1000,5000,400000000,1000000,2770.88472
0.591382164,75,1000,5000,400000000,1000000,2799.159054
0.592146145,100,1000,5000,400000000,1000000,2770.88472
0.591623536,125,1000,5000,400000000,1000000,2799.159054
0.593104332,150,1000,5000,400000000,1000000,2770.88472
0.592079848,50,1250,5000,400000000,1000000,2770.88472
0.592162555,75,1250,5000,400000000,1000000,2799.159054
0.591545963,100,1250,5000,400000000,1000000,2799.159054
0.592602299,125,1250,5000,400000000,1000000,2770.88472
0.591743105,150,1250,5000,400000000,1000000,2799.159054
0.59292838,50,1500,5000,400000000,1000000,2770.88472
0.593405616,75,1500,5000,400000000,1000000,2799.159054
0.592285697,100,1500,5000,400000000,1000000,2770.88472
0.59362134,125,1500,5000,400000000,1000000,2799.159054
0.593256902,150,1500,5000,400000000,1000000,2770.88472
0.59240325,50,1750,5000,400000000,1000000,2770.88472
0.592356871,75,1750,5000,400000000,1000000,2770.88472
0.592274612,100,1750,5000,400000000,1000000,2770.88472
0.592206508,125,1750,5000,400000000,1000000,2799.159054
0.592263941,150,1750,5000,400000000,1000000,2770.88472
0.592422939,50,750,6000,400000000,1000000,2770.88472
0.592658805,75,750,6000,400000000,1000000,2770.88472
0.591631728,100,750,6000,400000000,1000000,2799.159054
0.592580605,125,750,6000,400000000,1000000,2770.88472
0.593802056,150,750,6000,400000000,1000000,2770.88472
0.592637409,50,1000,6000,400000000,1000000,2770.88472
0.592554282,75,1000,6000,400000000,1000000,2770.88472
0.592038633,100,1000,6000,400000000,1000000,2799.159054
0.593330647,125,1000,6000,400000000,1000000,2770.88472
0.591508261,150,1000,6000,400000000,1000000,2799.159054
0.593504944,50,1250,6000,400000000,1000000,2770.88472
0.595074977,75,1250,6000,400000000,1000000,2799.159054
0.592997872,100,1250,6000,400000000,1000000,2770.88472
0.59255908,125,1250,6000,400000000,1000000,2770.88472
0.592913397,150,1250,6000,400000000,1000000,2770.88472
0.593964263,50,1500,6000,400000000,1000000,2770.88472
0.592127743,75,1500,6000,400000000,1000000,2770.88472
0.592889905,100,1500,6000,400000000,1000000,2770.88472
0.593527339,125,1500,6000,400000000,1000000,2770.88472
0.594648505,150,1500,6000,400000000,1000000,2799.159054
0.591306156,50,1750,6000,400000000,1000000,2799.159054
0.593404949,75,1750,6000,400000000,1000000,2770.88472
0.592074269,100,1750,6000,400000000,1000000,2770.88472
0.594949041,125,1750,6000,400000000,1000000,2799.159054
0.591969881,150,1750,6000,400000000,1000000,2799.159054
0.59222756,50,750,7000,400000000,1000000,2770.88472
0.593227912,75,750,7000,400000000,1000000,2770.88472
0.592187561,100,750,7000,400000000,1000000,2770.88472
0.59238831,125,750,7000,400000000,1000000,2799.159054
0.591403548,150,750,7000,400000000,1000000,2799.159054
0.592709749,50,1000,7000,400000000,1000000,2770.88472
0.591452763,75,1000,7000,400000000,1000000,2799.159054
0.591884123,100,1000,7000,400000000,1000000,2799.159054
0.592170444,125,1000,7000,400000000,1000000,2770.88472
0.592173173,150,1000,7000,400000000,1000000,2770.88472
0.593319024,50,1250,7000,400000000,1000000,2770.88472
0.592306367,75,1250,7000,400000000,1000000,2770.88472
0.592077571,100,1250,7000,400000000,1000000,2799.159054
0.592497049,125,1250,7000,400000000,1000000,2770.88472
0.591654077,150,1250,7000,400000000,1000000,2799.159054
0.592022008,50,1500,7000,400000000,1000000,2770.88472
